"bbl","address","zipcode","unitsres","numfloors","latitude","longitude"
"4038280024","78-13 79 STREET","11385",1,2,40.704335,-73.8710898
"4038280025","78-11 79 STREET","11385",1,2,40.7043899,-73.8711113
"4038280026","79-02 78 AVENUE","11385",2,2,40.7045136,-73.8713058
"4036010041","64-27 ADMIRAL AVENUE","11379",2,2,40.7120957,-73.8968476
"4036010043","64-25 ADMIRAL AVENUE","11379",2,2,40.712126,-73.896981
"4036020001","65-01 ADMIRAL AVENUE","11379",2,2,40.7116583,-73.8957697
"4038270070","78-21 78 STREET","11385",2,2,40.7040093,-73.8719416
"4038270071","78-19 78 STREET","11385",2,2,40.7040862,-73.8719739
"4038270073","78-17 78 STREET","11385",2,2,40.7041603,-73.8720026
"4038280017","78-27 79 STREET","11385",2,2,40.7039698,-73.870939
"4038280002","78-57 79 STREET","11385",2,2,40.7031816,-73.8706195
"4038280003","78-55 79 STREET","11385",2,2,40.7032338,-73.8706411
"4038280004","78-53 79 STREET","11385",2,2,40.703286,-73.8706626
"4038280005","78-51 79 STREET","11385",2,2,40.7033409,-73.8706841
"4038280006","78-49 79 STREET","11385",3,2,40.7033931,-73.8707057
"4038280007","78-47 79 STREET","11385",2,2,40.7034425,-73.8707272
"4038280008","78-45 79 STREET","11385",3,2,40.7034974,-73.8707488
"4038280009","78-43 79 STREET","11385",2,2,40.7035496,-73.8707703
"4038280010","78-41 79 STREET","11385",2,2,40.7036073,-73.8707918
"4038280069","78-38 79 PLACE","11385",2,2,40.7037854,-73.8705029
"4038280070","78-40 79 PLACE","11385",2,2,40.7037332,-73.8704814
"4038280071","78-42 79 PLACE","11385",3,2,40.703681,-73.8704599
"4038280073","78-46 79 PLACE","11385",2,3,40.7036041,-73.8704276
